EnsemblID,gene_name,logFC,logCPM,PValue,FDR,F,gene_biotype,GroupA_AvgCPM,GroupB_AvgCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
C1_00070W_A,MVD,1.03041,6.86741,5.63E-05,0.000636636,45.5276,protein_coding,76.6512,156.569,16.2533,17.9247,3.19611,NA,diphosphomevalonate decarboxylase,NA
C1_00140W_A,KEL1,1.31983,8.01606,1.37E-06,7.84E-05,107.503,protein_coding,147.989,369.473,4.08939,68.4253,4.10574,NA,Kel1p,NA
C1_00350C_A,HMX1,-1.19678,9.91974,0.000100132,0.000890435,39.4975,protein_coding,1348.47,588.221,173.955,156.336,3.0504,NA,Hmx1p,NA
C1_00360W_A,CDC13,-1.23517,4.58924,3.61E-05,0.00049083,50.7063,protein_coding,33.4757,14.2123,4.80623,3.44383,3.30907,NA,Cdc13p,NA
C1_00390W_A,ENA2,-1.21683,10.5439,1.47E-05,0.000270642,62.6719,protein_coding,2087.3,898.006,379.839,85.1414,3.5676,NA,Na(+)-exporting P-type ATPase,NA
C1_00550W_A,CIS2,1.06485,4.98919,1.16E-05,0.000235798,66.225,protein_coding,20.4282,42.7486,2.79043,5.84408,3.62746,NA,gamma-glutamyltransferase,NA
C1_00840C_A,NRM1,1.51299,3.19093,0.00047183,0.00253614,26.524,protein_coding,4.65869,13.3015,1.25355,5.48891,2.59583,NA,Nrm1p,NA
C1_00880W_A,C1_00880W_A,1.34977,5.14556,0.00238217,0.00834049,16.7221,protein_coding,19.8756,50.6354,6.38555,19.1966,2.07881,NA,uncharacterized protein,NA
C1_00910W_A,C1_00910W_A,1.4924,3.34289,6.08E-06,0.000164009,76.8814,protein_coding,5.2414,14.7467,1.38686,0.790099,3.78513,NA,uncharacterized protein,NA
C1_00950C_A,CDC5,2.19297,7.33791,3.04E-05,0.000427263,54.2151,protein_coding,58.0334,265.281,26.6318,30.6917,3.3693,NA,polo kinase,NA
C1_01240W_A,IFD3,1.05134,6.19666,0.00195438,0.00720795,17.7824,protein_coding,47.6469,98.8062,2.18332,44.5073,2.14219,NA,Ifd3p,NA
C1_01440C_A,POX18,2.63294,3.11404,1.38E-05,0.000258393,64.6482,protein_coding,2.36809,14.7532,0.673702,6.63858,3.58772,NA,Pox18p,NA
C1_01450W_A,ABC1,-1.2506,5.20154,0.000107406,0.000925385,39.0569,protein_coding,51.4973,21.6157,12.252,4.67836,3.03368,NA,protein kinase,NA
C1_01510W_A,C1_01510W_A,-1.32799,3.86956,0.00338623,0.0109317,14.9448,protein_coding,20.5795,8.17953,6.88235,3.53561,1.96131,NA,uncharacterized protein,NA
C1_01980W_A,HGT1,-1.49545,11.2179,4.38E-06,0.000142186,82.8257,protein_coding,3516.14,1247.05,657.943,160.213,3.84714,NA,Hgt1p,NA
C1_02070W_A,HSP31,1.28743,3.42669,0.0109697,0.0274266,9.88757,protein_coding,6.17148,15.0307,3.24528,6.41679,1.56183,NA,Hsp31p,NA
