GOID	GO Term	Aspect	Query Count	Query Total	Query %	Background Count	Background Total	Background %	Fold Enrichment	P-value	FDR	Genes
GO:0005576	extracellular region	Cellular Component	62	585	10.60%	327	6672	4.9011%	2.16	2.29e-09	2.58e-08	GSC1, EVP1, PLB4.5, RBT4, PRA1, SSC1, PGA13, PDI1, CHT1, CRH11, IFF6, SOD4, ENG1, HSP70, SSA2, PGA59, MET6, PGA45, INO1, RBE1, PGA6, CHT2, CDC19, CHT3, FGR41, SCW11, ALS1, SOD6, KAR2, PGA30, HSP90, OLE1, FDH1, KER1, SEC61, CIP1, PST2, LIP1, GCY1, SAP6, LIP4, PRY1, PIR1, OP4, SAP4, CMI1, CSA2, SAP3, SAH1, HGT7, HGT1, CAR1, UGA1, PMM1, C6_03320W_A, ADO1, C5_04940W_A, GNA1, ADH2, C7_00190W_A, DSE1, CSP1
GO:0009986	cell surface	Cellular Component	45	585	7.69%	202	6672	3.0276%	2.54	2.46e-09	2.58e-08	CHS1, HSP21, PLB4.5, RBT4, PRA1, PGA38, RBR2, PGA44, SSC1, PGA48, PGA13, PDI1, FGR23, CHT1, CRH11, PGA26, IFF6, SOD4, ENG1, HSP70, SSA2, PGA59, MET6, PGA25, PGA45, INO1, RBE1, PGA6, CHT2, PGA54, CDC19, PGA32, PGA17, CHT3, FGR41, SCW11, PGA23, PGA41, RBR1, ALS1, SOD6, KAR2, HSP104, PGA30, HSP90
GO:0030312	external encapsulating structure	Cellular Component	41	585	7.01%	244	6672	3.6571%	1.92	3.02e-05	2.11e-04	PLB4.5, PRA1, SSC1, PGA13, CHT1, CRH11, IFF6, SOD4, HSP70, SSA2, PGA59, MET6, PGA45, INO1, RBE1, PGA6, CHT2, CDC19, CHT3, ALS1, PGA30, HSP90, OLE1, FDH1, CIP1, PST2, GCY1, SAP6, PIR1, SAH1, CAR1, UGA1, PMM1, C6_03320W_A, ADO1, C5_04940W_A, GNA1, ADH2, C7_00190W_A, DSE1, CSP1
GO:0000786	nucleosome	Cellular Component	6	585	1.03%	11	6672	0.1649%	6.22	1.39e-04	6.72e-04	CSE4, HHT2, HHO1, C1_04180W_A, HHF22, HTA2
GO:0009277	fungal-type cell wall	Cellular Component	26	585	4.44%	141	6672	2.1133%	2.10	1.92e-04	6.72e-04	PRA1, SSC1, PGA13, CHT1, CRH11, IFF6, SOD4, HSP70, SSA2, PGA59, MET6, PGA45, INO1, RBE1, PGA6, CHT2, CDC19, CHT3, ALS1, PGA30, HSP90, PST2, PIR1, C7_00190W_A, DSE1, CSP1
GO:0005618	cell wall	Cellular Component	26	585	4.44%	141	6672	2.1133%	2.10	1.92e-04	6.72e-04	PRA1, SSC1, PGA13, CHT1, CRH11, IFF6, SOD4, HSP70, SSA2, PGA59, MET6, PGA45, INO1, RBE1, PGA6, CHT2, CDC19, CHT3, ALS1, PGA30, HSP90, PST2, PIR1, C7_00190W_A, DSE1, CSP1
GO:0000936	primary cell septum	Cellular Component	3	585	0.51%	3	6672	0.0450%	11.41	6.71e-04	2.01e-03	GSC1, CDC14, ENG1
GO:0031012	extracellular matrix	Cellular Component	22	585	3.76%	128	6672	1.9185%	1.96	1.55e-03	2.19e-03	PLB4.5, SSC1, HSP70, SSA2, MET6, CHT2, OLE1, FDH1, CIP1, PST2, GCY1, SAP6, PIR1, SAH1, CAR1, UGA1, PMM1, C6_03320W_A, ADO1, C5_04940W_A, GNA1, ADH2
GO:0140047	specialized extracellular matrix	Cellular Component	22	585	3.76%	128	6672	1.9185%	1.96	1.55e-03	2.19e-03	PLB4.5, SSC1, HSP70, SSA2, MET6, CHT2, OLE1, FDH1, CIP1, PST2, GCY1, SAP6, PIR1, SAH1, CAR1, UGA1, PMM1, C6_03320W_A, ADO1, C5_04940W_A, GNA1, ADH2
GO:0062040	fungal biofilm matrix	Cellular Component	22	585	3.76%	128	6672	1.9185%	1.96	1.55e-03	2.19e-03	PLB4.5, SSC1, HSP70, SSA2, MET6, CHT2, OLE1, FDH1, CIP1, PST2, GCY1, SAP6, PIR1, SAH1, CAR1, UGA1, PMM1, C6_03320W_A, ADO1, C5_04940W_A, GNA1, ADH2
GO:0062039	biofilm matrix	Cellular Component	22	585	3.76%	128	6672	1.9185%	1.96	1.55e-03	2.19e-03	PLB4.5, SSC1, HSP70, SSA2, MET6, CHT2, OLE1, FDH1, CIP1, PST2, GCY1, SAP6, PIR1, SAH1, CAR1, UGA1, PMM1, C6_03320W_A, ADO1, C5_04940W_A, GNA1, ADH2
GO:0140602	nucleolar peripheral inclusion body	Cellular Component	6	585	1.03%	16	6672	0.2398%	4.28	1.65e-03	2.19e-03	CDC14, SSA2, HSP104, CDC5, CLB2, HHT2
GO:0016234	inclusion body	Cellular Component	6	585	1.03%	16	6672	0.2398%	4.28	1.65e-03	2.19e-03	CDC14, SSA2, HSP104, CDC5, CLB2, HHT2
GO:0042405	nuclear inclusion body	Cellular Component	6	585	1.03%	16	6672	0.2398%	4.28	1.65e-03	2.19e-03	CDC14, SSA2, HSP104, CDC5, CLB2, HHT2
GO:0032993	protein-DNA complex	Cellular Component	6	585	1.03%	16	6672	0.2398%	4.28	1.65e-03	2.19e-03	CSE4, HHT2, HHO1, C1_04180W_A, HHF22, HTA2
GO:0071944	cell periphery	Cellular Component	54	585	9.23%	414	6672	6.2050%	1.49	1.67e-03	2.19e-03	GSC1, DAL4, MYO2, HOF1, C1_06700W_A, C7_03480W_A, PPP1, EVP1, CDC14, DBF2, SSC1, CRH11, HSP70, SSA2, CDC19, KAR2, HSP90, IQG1, OLE1, GPR1, KER1, PMT2, PMT1, PMT4, SEC61, SEC62, PST2, HGT7, HGT1, CAG1, FTH1, C1_08610C_A, NGT1, HGT12, HGT19, HGT20, ITR1, HGT13, HGT18, JEN1, AOX2, SFC1, ERV29, AGC1, SEC63, C7_00430W_A, OPT3, HMX1, DPM1, CTR1, PST1, FET31, ALP1, SPC2
GO:0005886	plasma membrane	Cellular Component	45	585	7.69%	331	6672	4.9610%	1.55	1.78e-03	2.19e-03	GSC1, DAL4, HOF1, PPP1, SSC1, CRH11, HSP70, SSA2, CDC19, HSP90, GPR1, KER1, PMT2, PMT1, PMT4, SEC61, SEC62, PST2, HGT7, HGT1, CAG1, FTH1, C1_08610C_A, NGT1, HGT12, HGT19, HGT20, ITR1, HGT13, HGT18, JEN1, AOX2, SFC1, ERV29, AGC1, SEC63, C7_00430W_A, OPT3, HMX1, DPM1, CTR1, PST1, FET31, ALP1, SPC2
GO:0016020	membrane	Cellular Component	96	585	16.41%	847	6672	12.6948%	1.29	3.65e-03	4.25e-03	GSC1, SEC14, DAL4, ERD1, FUR4, CR_01490C_A, HOF1, PPP1, CHS1, SSC1, CRH11, HSP70, SSA2, CDC19, KAR2, HSP90, OLE1, GPR1, KER1, PMT2, PMT1, PMT4, SEC61, DPM2, SEC62, CIP1, PST2, HGT7, HGT1, ENA2, CAG1, FTH1, C1_08610C_A, AAP1, C4_02460W_A, FRP5, LMO1, PHO89, DAL7, ZRT2, AXL2, C7_00630C_A, MUP1, TPO3, CDR3, NGT1, ATO10, FCY2, C2_02580W_A, MRV5, C3_05380W_A, HGT12, HSP31, DAL9, GNP3, HGT19, C1_06860W_A, CR_01220W_A, HGT20, HNM1, HXT5, ITR1, RTA4, HGT13, HGT18, GPT1, C2_02570W_A, XUT1, C4_04980W_A, TPO5, FRP6, C3_00390W_A, FCY24, HIP1, RAS2, DCK1, CR_03580C_A, JEN1, C4_06140C_A, C7_01510W_A, VCX1, MAL31, AOX2, SFC1, ERV29, AGC1, SEC63, C7_00430W_A, OPT3, HMX1, DPM1, CTR1, PST1, FET31, ALP1, SPC2
GO:0005684	U2-type spliceosomal complex	Cellular Component	4	585	0.68%	10	6672	0.1499%	4.56	8.00e-03	8.74e-03	CR_03190C_A, ISY1, C1_04990C_A, C3_01560W_A
GO:0030445	yeast-form cell wall	Cellular Component	11	585	1.88%	56	6672	0.8393%	2.24	8.33e-03	8.74e-03	SSC1, CRH11, SOD4, HSP70, PGA45, RBE1, CHT2, CDC19, ALS1, PGA30, PIR1
GO:0098827	endoplasmic reticulum subcompartment	Cellular Component	9	585	1.54%	42	6672	0.6295%	2.44	9.25e-03	9.25e-03	CR_01490C_A, KAR2, OLE1, PMT2, PMT1, PMT4, SEC61, DPM2, SEC62
